SKU,Part,Name_zh,Name_en,Qty,Spec_mm,Material,Process,Note
F180-RC-001,A,層板,Shelf plate,4,560x560x20 R180,Pine / rubberwood,CNC 2.5D,Top + 2 mid + base
F180-RC-001,B,白立板,White upright,2,inner span 284,Rubberwood / MDF,CNC + paint,Pair
F180-RC-001,C,旋轉座,Turntable,1,bearing + lock,Steel / nylon,buy,Lockable
F180-RC-001,D,繪圖板,Drawing board,2,W260 t20 pull 297,Pine,CNC,Optional module
F180-RC-001,E,上書擋,Upper bookend,2,168x114 R54,Pine,CNC,Optional
F180-RC-001,F,下書擋,Lower bookend,2,t20 H144,Pine,CNC,Optional
F180-RC-001,G,木掛盒,Hanging box,1,W350 R228.5,Pine,CNC,Optional
F180-RC-001,H,塑膠箱,Bin,4,fit 284 opening,PP,buy,Size-matched
F180-RC-001,J,牆扣,Wall tether,1,—,—,buy,Kids room
